date,return_5d,return_10d,return_20d,dist_from_ma20,dist_from_ma50,volatility_10d,volume_ratio,consecutive_up
2021-06-28,0.01570599029998787,0.008485685376163232,0.02101846401551577,0.013923327226851167,0.023969848846829664,0.0074217592627893155,0.8999774834638897,3
2021-06-29,0.010848133216498468,0.010882214339564378,0.02246817730348072,0.013339216227776042,0.023841572249318724,0.007363403287566962,0.6185238703992983,4
2021-06-30,0.012920046591052392,0.017413454457125166,0.021722086029208665,0.013099874234778897,0.023858497606881402,0.006985356007163392,1.0998603965071727,5
2021-07-01,0.012538379197348792,0.02338587538409964,0.031206225359117434,0.017141297031292673,0.028753843600821834,0.007037373965428009,0.91029960714255,6
2021-07-02,0.01666622388504524,0.04530988374630329,0.029670851100728646,0.023404347904187533,0.03548864015073089,0.004456110665013586,0.9813370152797033,7
2021-07-06,0.012772469417735799,0.028679063998505505,0.028793467636961667,0.020082023942571015,0.032737155203725506,0.0032431038827594387,1.151839411956798,0
2021-07-07,0.015805547132841102,0.026825141030196287,0.03220947190666257,0.0220549224454412,0.0354874795523334,0.0031361472760690896,1.0508649074834737,1
2021-07-08,0.006681309611549668,0.019687679034072536,0.025328618076772225,0.012459339462327974,0.02632797224926622,0.004540003277326393,1.5508172263270845,0
2021-07-09,0.011825319077505947,0.024511968609578272,0.031479007914007484,0.021671959320913887,0.0363222212900142,0.005201848586756416,1.1876579139676837,1
2021-07-12,0.007747129884025705,0.024542469170184544,0.03346613889431804,0.02363217244487857,0.03912486222535905,0.005202568883625759,0.8192529143799104,2
2021-07-13,0.006144257809073572,0.018995204571770508,0.02764207727758583,0.018744756575121882,0.034615653486838906,0.005524557941592251,0.8129447867182436,0
2021-07-14,0.004096763099132206,0.019967061814228915,0.03106656200018687,0.018699071206686357,0.03520524549321111,0.005506682367708144,0.9758561189547951,1
2021-07-15,0.008888059545260285,0.015628753034477638,0.033314358070790195,0.013561157925508502,0.03066764488826482,0.005764072064912804,0.8552817758006941,0
2021-07-16,-0.009597916334831202,0.002113904319536175,0.025549215206626563,0.004352869850460891,0.021762300059572717,0.00627092080397315,1.1911194180626694,0
2021-07-19,-0.02770651444172323,-0.02017403052371125,0.02422177024486838,-0.011635480330948396,0.006326851415002094,0.007254243015334863,2.2709281922368407,0
2021-07-20,-0.010399530816977642,-0.004319170406336892,0.024236023827664877,0.001340436896877973,0.02024939966441718,0.008910493393739801,1.4977511148568514,1
2021-07-21,-0.003873921727967633,0.00020697083158038865,0.027037663883523022,0.00810795306838701,0.02763522246701494,0.00924463758410453,0.968111046395273,2
2021-07-22,0.0016328627544281993,0.010535435281079142,0.030430532583449743,0.008714262441540617,0.028687508175090446,0.008790527061192781,0.7169797673741074,3
2021-07-23,0.019938175392610225,0.010148894118491736,0.03490963210212428,0.017343585500563957,0.03751352266143321,0.008744387093532742,0.9417486266971985,4
2021-07-26,0.037767340771903246,0.009014424957657807,0.033778130374452875,0.018144652753714432,0.03848924557428986,0.008715265139597765,0.6526195159346494,5
2021-07-27,0.018442846050518158,0.007851518287685266,0.02699586405552945,0.012155997471710681,0.03259928288418692,0.008786114316436206,0.9954933524326606,0
2021-07-28,0.009849203372154447,0.005937126601240239,0.026022735389314988,0.0104444147963621,0.030979501582121986,0.00879046838924456,0.7657152138114872,0
2021-07-29,0.011918408435730443,0.013570732315385525,0.029411578973717267,0.013166503945976397,0.033795459155023244,0.008729169316820705,0.7011074501156004,1
2021-07-30,-0.0032505183662171477,0.016622847621090564,0.018771891050016087,0.007310668009513315,0.0273776513777756,0.008424073578561514,1.007569646217694,0
2021-08-02,-0.007777517179082816,0.029696087451158704,0.008922967152773076,0.00475066585959967,0.02408660190024371,0.006379948437286978,0.8583074289579853,0
2021-08-03,0.004874571115933257,0.02340731813110475,0.018987047529004153,0.011969755536582862,0.03108778081732919,0.005373373288904081,0.8543036943466995,1
2021-08-04,0.0003419863753162389,0.010194558040831803,0.010403638848567542,0.006470179252081748,0.025001273111990185,0.005397544981988912,0.6963130892279565,0
2021-08-05,0.0025191973778766474,0.014467630636886719,0.02515548870421136,0.011586905895997384,0.030295163274385813,0.005651060565591848,0.6071701787870526,1
2021-08-06,0.009076083460991091,0.005796063118790773,0.016003780868178996,0.012450529301087001,0.030805876337666863,0.004736488039641708,0.748281129842322,2
2021-08-09,0.010375071011790693,0.00251686153967956,0.011553974556815616,0.011042832715977387,0.028807031892103326,0.004706033694697035,0.6634497338965057,0
2021-08-10,0.0034682474376279693,0.00835972477234348,0.016276879591959004,0.011480530243434019,0.028937078628063852,0.00439313901725749,0.7029310785543844,1
2021-08-11,0.010934481029472254,0.011280206848321761,0.017284305465708583,0.013121246687397788,0.03027362812647974,0.004396879109467724,0.7260358004735837,2
2021-08-12,0.00758342482425034,0.010121726346059567,0.023829817900256955,0.014957338625290929,0.03210816638088844,0.004323635822202418,0.6502297438655242,3
2021-08-13,0.0077516806630530954,0.01689811902470506,0.033801861503426345,0.01511682787268889,0.03262073765155554,0.0037998663883892446,0.6802966843156956,4
2021-08-16,0.010946738806162593,0.021435383010414588,0.051768017469999705,0.014965315268677247,0.03381916976824546,0.003560862517842877,1.3578386317243878,5
2021-08-17,0.0030721496079033628,0.006551052020536963,0.030111712710379823,0.006828345990778076,0.025940082262964348,0.0038277879463935486,1.717449793532935,0
2021-08-18,-0.010365682673535215,0.00045545499538568457,0.010654656198602952,-0.004713877422477147,0.01385484464172522,0.005074845828422078,1.618941521035238,0
2021-08-19,-0.011795009764725362,-0.004301031510327014,0.01010437339131065,-0.0036695339289050132,0.014507325067947658,0.004622858776885882,1.6158607923919674,1
2021-08-20,-0.005741049776725959,0.00196612810178709,0.007773587023155448,0.003869516618700028,0.021584035047819906,0.005315166546688692,1.2447410642062722,2
2021-08-23,0.0006490744277354299,0.011602918482124247,0.01414898296107947,0.011985258231856024,0.029416134150953017,0.005941582458737687,0.9411084358140268,3
2021-08-24,0.008850467519351257,0.011949807087573872,0.02040942895825215,0.01256515604659359,0.029907691953817272,0.005943047675978603,0.6799652126085779,4
2021-08-25,0.022155039596682746,0.011559704813068672,0.022970307522787392,0.013535342619298797,0.030845331750223588,0.00593504784038627,0.7188248005437072,5
2021-08-26,0.014550289622688117,0.0025836590497834155,0.012731536485716566,0.006914694856398069,0.023560237191978424,0.006286835861754824,1.016283940766211,0
2021-08-27,0.01554059389649054,0.009710324796644798,0.02677253004553215,0.014573682013843792,0.03130883274211919,0.0068584697718255235,1.3475032533869857,1
2021-08-30,0.011112085240105651,0.011768372238209368,0.03345601481495919,0.017357189714339517,0.03407658626140076,0.006933714825031699,0.8514242094433058,2
2021-08-31,0.008014110499384053,0.016935506643406484,0.023597504048958662,0.014661834109732038,0.031096932676822786,0.006474229782892246,1.0429487667656088,0
2021-09-01,0.00643788095644382,0.028735552060635383,0.029204094806752234,0.01374097563708303,0.03029502589869864,0.004778953989051767,0.8553966480721561,1
2021-09-02,0.01552900149623837,0.03030524258824774,0.0258738672746206,0.015557573026052254,0.03202498417940486,0.004757186814909761,0.7438797421545944,2
2021-09-03,0.006285192906640535,0.021923462433654173,0.023932694871020788,0.014107595053757362,0.03046114070195316,0.0045080119527728425,0.8254345953698458,0
2021-09-07,-0.0017028347715907222,0.009390328423383165,0.021102202120724334,0.0094276387712285,0.025617384527575986,0.0041758916435878195,0.8960059012942981,0
